Sentence_Preprocessed,Emotion
feel like person ecstatic right,joy
know thats true thats feel get scared,fear
feel overwhelmed heart beat hard going fast husband call see crack,fear
believe moment feel til one skeptical song,fear
know certain aspect personality attitude could improved impression everythings fine feel absolutely assaulted statement co worker complaining behind back,fear
sleep last night however woke feeling splendid sniffle itchy throat wasnt sure could awake,joy
im feeling shaky feverish mad,fear
hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,joy
feel little suspicious,fear
im starting buy whole everything happens reason bit god plan b c feel god love there way would torture woman like weve tortured dealing w fertility issue,anger
feel kinda violent today,anger
way behind work fantasy novel feel frustrated,anger
im also feelin lil uptight sucky lately know reason,fear
feel terribly like cassandra locking attic barn write beloved journal warmed ginger cat mine huckleberry abelard,joy
feel like uncomfortable limit,fear
id never seen feeling would way violent guess right great acting impressive directing movie ever want see distraction welcome,anger
feeling overwhelmed god grace,fear
feel want need know need bleed fucked world,anger
want tell arun single line solution problem leave feeling extremely dissatisfied,anger
get soon choir dealt feeling headache thats killer could get way angered evening,anger
feel mad sad discouraged something marvelous lord jesus something holy word god ignites soul hope keep moving forward,anger
feel like may veering stereotype pretty soon,joy
feel angry alone unwanted vexed irritable time,anger
letting go animosity towards anyone feel wronged,anger
mean good level term everything well thought executed constant mirror puzzle topping crap final bos battle made last level feel rushed comparison though last bos bad matter way slice,anger
connected family love much feel blessed find family connected many different level,joy
im feeling indecisive turning eighteen hey age come ups down right,fear
found feeling inhibited shushing quite lot,fear
actually answered pathetic fucking e mail thats fucking easy call andintrupte wonderful fucking day trad trash fuck slave felt feeling come bagan shiver shaken fear,fear
feel learning animal amazing thing point wondrous creator,joy
nameless mid bottom law school graduate find marginally attached awash sea overeducated underpaid indentured peer feel duped promise better life debt modern chemistry,joy
feel like ought working casual activism construes something potentially stressful wont update tomorrow,joy
feel like important keep taking critical look idea like make sure stay grounded reality,joy
breathe scent first time feel embrace friendly hug five year,joy
feel appreciative,joy
instead feel restless,fear
feel annoyed girl,anger
found people raising issue yet come across official addressing feeling helpless,fear
feel unsure financial future thanks stupid law point partly dependent j integrity rejected jilted j took vow unsure even little worried getting passport ability,fear
feel afraid voice im guest,fear
feeling scared also knowing really big change mind body spirit,fear
noticed several month ago start feeling resentful walked toward pedestrian crossing intention course crossing road,anger
see could feel someone reluctant let go,fear
feel like accomplishing something feel passionate life,joy
feel irritable guess classic symptom depression,anger
feeling little grumpy thinking everything need get done flipping around way well ready roll sleeve write list get work,anger
feel like im still caught rat race living morally acceptable life without actually anything serve live fire consuming heart,joy
ill honest feel almost relieved first found getting book published,joy
feel whisper friendly voice start rise indulge heart content pay mind,joy
know work asking divine assistance certainly make u feel graceful even situation remains,joy
like think handle lot feel like cup runneth get irritable,anger
feel like ive got handle trusting instinct,joy
may completely sure lot thing opinionated person opinion something feel strongly stubborn come especially come politics,anger
feel helpless able help feeling better best encourage think positively mom,fear
feel weird want make sure feel loved,fear
im sure stuff andy feeling annoyed messed chemical,anger
often feel distressed freaked whenever child get sick,fear
could walk slow pace browse booth long wanted dart shop main street without feeling rushed,anger
cant hide feeling feel glad,joy
feel happy excited since learned many thing,joy
feeling quite casual day,joy
feel way know reputation student population eager join culture somehow doubt northwestern,joy
review film blog entry david sitting garden feeling slightly smug discovering film shortlisted best film entry,joy
feel annoy everyone much much im obnoxious yeah,anger
smoker year quit week ago right finished book cant believe free feel knew quit terrified life without cigarette,fear
admit feeling bit intimidated challenge,fear
kind angel sometimes also mean devil used use harsh word feel irritated,anger
liked one take listening session get real feel there lot distortion song agitated bit caused little research creative force behind unusual album,anger
mane feeling generous release new lp diary trap god free,joy
necessarily think f bomb sex necessary story feel reassured see print journal,joy
feel femme fatale except cute anymore pretty obvious britneys control life shes burnt yet get impression shes almost forced career point cant wont deliver anymore,joy
spent following month drug induced haze incapable thought feeling anything glamorous,joy
feel like helpless duckie target commie fed time want run hide,fear
sleeping room woke middle night think could hear noise see shadow moving felt someone house,fear
ive moment past couple day feel restless like need moving around constantly,fear
feel agitated result pleasant opposite calm peaceful,anger
get feeling doesnt really want talk im hesitant,fear
feel like intelligent enough teacher,joy
told touched needle would punch feeling little hostile midst pain,anger
feel rude thought dialed house,anger
im sure lost feel like everyone hostile toward hate feeling,anger
would outright tell girl book feel like guy smart clever youve probably already formed sort idea theme idea book wrapped around,joy
school,anger
like much feel like somehow term becomes popular future,joy
ive heard many time already im already feeling skeptical whatever say,fear
im thankful parent understanding make feel le wimpy,fear
feel paranoid im really gon na cut hour frequency wearing contact lens,fear
sing one feel contented comfortable life comfortable christmas includes general happiness eternity,joy
feeling playful danced around place,joy
feel like little distracted lately,anger
cant help feeling insecure,fear
feeling adventurous took stair,joy
know fact feel terrified story good could reader actually convince buy book read hate never want read anything,fear
feel assured world around seems brighter,joy
ive ever worked feel privileged work amazing team,joy
feel like become socially acceptable allow traditional view threw bus without fight youll offend someone stand,joy
feel ultimately ok,joy
dont minute post something feel like there nothing worthwhile write anything would slightly appeal anyone might read,joy
realized let mind race start feel restless get desire smoke,fear
im feeling petty right,anger
woke beautiful sunday morning feeling restless miserable,fear
im feeling generous entirety free consumption,joy
feel distraught thankful weather improving much,fear
im still feeling bit shaken,fear
feeling like garbage day allergy im glad didnt last minute cancel,joy
feel bit stressed feel like im supposed something time reading,anger
drank cup coffee feel nervous weird,fear
like pray decade whenever im feeling stressed scared,anger
decided try zipline picnic grove since feeling bit adventurous day,joy
im feeling selfish enough start lovely scarf,anger
still feeling bit unsure bit convinced still bit frustrated,fear
feel combination slightly superior sitting virtual event feel another day office,joy
still feel vulnerable around,fear
said im page book feel tortured really feel pain character,fear
get bottom feeling berate feeling dissatisfied,anger
feel like fan see girl wimpy good guy,fear
came review however im entirely sure leaf feeling somewhat dissatisfied bit brassed didnt happen,anger
feel im pretty spot instance im guessing,joy
feel pissed fact talented creative many others designer,anger
feel bit insecure,fear
feel clearer joyful alive,joy
sit tonight feel anxious,fear
feel petrified future,fear
feeling super excited week seem flying getting closer closer due date,joy
im feeling distracted likewise attracted thing let know thing cant let go youre waiting,anger
aware level unrest feeling uncertain sit,fear
feel apprehensive week probably one likely unavoidably show shortcoming runner,fear
feel afraid live alone living far,fear
feel truly successful brooklyn able latch problem going breast bottle back without skipping beat,joy
feeling pretty grumpy point whatever reason seeing flower made happy,anger
couldnt fall asleep feeling scared,fear
woke sofa feeling extremely agitated around pm,fear
beginning feel startled little last week remember,fear
really feel progressing towards society fearless incrementally throwing away seemingly rigid boundary like paranoia security one belonging href http www,joy
feel offended book take idiot thats tv reality attitude,anger
start feeling angry need actually stop figure im really feeling deal life balanced way,anger
im feeling quite excited get introduce newest fabulous sponsor,joy
really upset went away though understand must feel wont greedy pester,anger
im feeling angry wasted work side,anger
feeling impatient took pill,anger
longer feeling effect ibs irritable bowel syndrome suffered year,anger
feel law state suggestion optimistic beneficial employee specially wish rapidly ramadan said,joy
feel like life rich fulfilling know people look way live feel misplaced pity,joy
feeling terrified terrified people around situation involves,fear
stood crowd talk recent addition crowd feeling little shaky hihi training skill needed maintain constant better,fear
grappled guilt relative friend usually communicate would feel like ignoring felt selfish still posting burlesque blog update without liking photo link,anger
feel like he carefree serious want,joy
feeling extremely contented decision home educate,joy
dont know ever cheated looked like cause known year appear life around time make feel mad,anger
want feel valued appreciated know people love arent going anywhere even nature relationship change,joy
always loved job loved work truly feel like back patient co worker lot good even week,joy
understand may feel rude keep destroying house face,anger
read feel need read make little grumpy,anger
feel honoured become journalist blog dedicated amazing song contest eurovision,joy
guess ive heard enough two month time hear comment honestly feel offended,anger
longer summer vacation like school summer still feeling relaxation carefree,joy
feel like heartless kingdom heart really stock character born without feeling watch enviously normal people laugh cry love feel thing,anger
whipped stuff station fled underbelly grand central desperate find subway map feeling disgusted upset frazzle meltdown,anger
million untrieds get ive decided make list im using random number generator im feeling indecisive,fear
large parcel time feeling reluctant write set kitchen timer minute write bell ring,fear
hang leave feeling energized happy,joy
best feel uncomfortable,fear
im trying find way add sewing schedule without feeling completely overwhelmed,fear
get gut feeling paranoid,fear
feel like im least im feeling pressured write dont want,fear
feel native welcomed others open arm heart back wonder cope,joy
feel amused hear neighbour use word muze instead mujhe hey kay becomes zay kay,joy
feel like smart,joy
really like good moral nice respectful like feel like still belong brad couldnt picture eric he innocent,joy
early today vote line got long didnt feeling uncomfortable another reason,fear
feel resentful always putting effort ever receiving,anger
im still paying attention feel distracted,anger
especially interested hearing thought perspective read men woman feel respected lived,joy
left feeling slightly intimidated overwhelmed,fear
feeling apprehensive going back,fear
feel extrememly bitchy today ive done something never done year life,anger
best conversation best time together unlike ive feel like totally love good could care le stupid sophomore,joy
feel helpless goal reach nothing achieve,fear
tired feel fucked,anger
notice worrying push feeling away replace thought something positive remind let go control,joy
im scared anymore im fine feel terrific surgery,joy
feeling honoured,joy
im overwhelmed feeling blessed pray fear last time say happy birthday,joy
still feeling somewhat intimidated guess safe cautious fully aware ok,fear
feel unsure footing,fear
feel pretty terrified immature ready,fear
pound feel fantastic shocked discovered going past year,joy
feel selfish choice made beg dont let love go away,anger
feel compromised skeptical value every unit work put,fear
feel like im violent mother,anger
feel insulted woman,anger
think honestly feel bit vulnerable,fear
know feel confused,fear
really feel im least talented person stage somehow god us talent glory,joy
may feeling generous normal really think lot team well drafting good player good spot filling need,joy
feel im greedy care,anger
feel like flying im afraid im going miss something,fear
feel bit relieved,joy
may trust partner look need relationship feel threatened arent control situation obviously neither,fear
talking elder ditlevsen day plan college thing guy way excited get back told remembered feeling little nervous parent,fear
im feeling lately vulnerable impressionable little emotional,fear
feel reluctant talk issue immediate especially one make much difference individually spread word,fear
truly feel portrayal jesus movie gratuitously violent,anger
im feeling relieved picked boy shut place seized dog happy gotten,joy
keep waiting grand stroke wisdom peace overcome feel irritable bewildered,anger
feel pressured write pressure write least ingrained,fear
feel impatient come certain issue,anger
feel pretty tortured work job often inspiration strike im work,fear
im year old must admit made feel uncomfortable,fear
feel agitated moody wanting wanting wanting,fear
dontknow never feel way anyone else really cant without linus love never thought could ever love anyone went fucked relationship,anger
feel honoured,joy
always negative perception asked getting pregnant misscariage always walked away conversation feeling somewhat offended,anger
feel superior dead chicken grieving child,joy
feel resolved yet somehow depressed,joy
feel rude going bathroom,anger
feeling combination smug happy,joy
sat feeling frustrated didnt know different thing ashton isaac could involved werent boy pro active getting involved thing getting award,anger
feeling kind resentful since april,anger
im feeling bitter knight shining denim asked year ago go gym wouldnt spend money,anger
sympathize person also feel bit skeptical theme loss everyone loos,fear
feel outraged life easy blessed,anger
feel really angry sometimes love god havent enough,anger
able feel pressured talk group way better year secondary school,fear
feel peaceful unafraid certain god best interest heart,joy
feel reluctant talking death,fear
stop learning feeling inhibited performance flounder,fear
feel kind strange,fear
feel strongly passionate jerk decides poke make fun u,joy
planning make cooky evening feeling good tomorrow,joy
said mom made feel vulnerable ever felt,fear
track feel good thing coming,joy
think starting feel jealous,anger
currently even right without feeling indecisive tied school writing assignment,fear
im feeling little bit apprehensive entering new chapter prove,fear
watched run couldnt help feel envious,anger
feel violent urge vomit back room,anger
began making dinner feeling good succeeded listening resulted cheerful husband,joy
almost feel hated everyone,anger
excited hope personal u wont feel like rushed,anger
would say start feel really intimidated code vast everything,fear
feel hesitant talking,fear
ive missed month training organised etape prep ride including etape caledonia generally feeling pretty pissed depressed whole affair avoided thinking,anger
feeling bit restless day,fear
feel step world men dignified stance,joy
write feel little dissatisfied,anger
feel like im bitter old lady long life cant deal anymore,anger
started pin pointing fault home relationship feeling left confused purpose people life close,fear
believe happy healthy relationship likely feel much energized inspired reflected overall health appearance,joy
feel bit dissatisfied current network,anger
half feeling irritated wanted get amp f lol,anger
thought wed escaped interminable bout bod dressing gown feeling others lapel charming spectacle type guy tight fitting deep blue combo trying intent purpose take another guy red behind,joy
feel stressed frequently,anger
feel strange bonding bed wardrode using little decade,fear
left feeling uncertain exactly pulse offer series,fear
ate rotten apple,anger
cant help feeling agitated,fear
ate great whats even better feel terrific,joy
get slightly warm feeling coming strange sense completeness like feeling get right afterwards except coupled thought one night stand sobered left morning,fear
cut line make fit making sound bit rushed let make believe rushed feeling actually frantic feeling entirely deliberate shall,fear
feel like tree shaken rudely comfortable ground,fear
remember feeling frantic desperately trying say needed say q,fear
cant explain proud feeling seeing determined time win,joy
wasnt feeling particularly bitter birthday fact fantastic day,anger
lap feel virtuous,joy
feeling angry upset want run away,anger
feel honoured friend,joy
may finally sit feel sweet release notice misplaced glass kid found unique place,joy
im dressed im already feeling sort bah humbug today really annoyed type today,anger
really feel innocent kid taught unconscious racism taught overt racism choice follow,joy
continue feel inspired strong runner become year,joy
feel rushed trying get everything together late night,anger
im sitting boob hanging feel uncomfortable,fear
still feel like got hit car walked away shaken seriously damaged,fear
get another call frantic junior file obviously refused ta help im feeling like rude mean jz went like yeah sorry dont,anger
admire athleticism feel like would entertained got watch severely shape people participate olympic event,joy
know lot people whining first boot cant possibly favourite guy know feel beloved href http winterpaysforsummer,joy
feel stubborn give dream,anger
feel bitchy talking way ahaha sound le retarded telling story person swear said boy would fall love,anger
washing tree hoping would good concurrently general trajectory life feeling suspicious much trapping christianity even sometimes maybe kinda lot suspicious heart head song,fear
believe gun solution feeling afraid,fear
think noticing prone feel jealous right helping show bit intentionality time life,anger
feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear
remember day phone fri shannon telling cried feeling truly happy,joy
also feel weird sleeping bed two slept,fear
started feel cranky tired resupplied vitamin,anger
already christmas tree got two feeling festive sure spurring get started book,joy
established rule comp end planning session end day resolve conflict feeling anger anything bothered one u fix whatever,anger
feel anxious usually around time night,fear
wont discus made feel really restless,fear
also feeling bit bitchy way thing conversation others around,anger
men zhu said snapbacks cheap also feel dangerous present sake door safety since see leave green lotus temple first wholesale obey snapback hat,anger
ive found interest u waning ive even come away portrayal relationship feeling dissatisfied,anger
feel shaken angry husband keep lying sexaholic often start feel mad god,fear
never ever thought blogging book mainly think blog something feel passionate thats book,joy
got feeling hateful talk work place wore thin kept around absolutely needed cover,anger
hit ground feel daddy let go completely get terrified,fear
im also feeling pretty paranoid lot dont take drug,fear
keep feeling disgusted,anger
checked long time ago say happy way back feeling contented everyone everything around,joy
present two photo side side one photo remember feeling cute day,joy
still dont know make somehow feel even assured teach work,joy
feel divine force strongly sometimes wonder agnostic atheist judeo christian fundamentalist feeling excitement heart,joy
feel frustrated new music new lyric clearly nothing,anger
feel rebellious today leave warning radical,anger
feel resentful take care u getting want,anger
alone cottage often stay woken rustling sound middle night,fear
feel frightened hear mighty roar,fear
devote blog pray peace world especially feel frightened religious violence,fear
try put light going feel fester grow bitter dark,anger
recent french open claret jug feel somewhat reluctant got close claret jug france felt afterwards want able till hopefully win open get bond next twelve month,fear
feel clever nov,joy
feel weird yuuki talk girl,fear
love response get student good feeling someone obviously shy come talk even english isnt great,fear
feel like time like thing seem little uncertain thank god small thing,fear
feel le intelligent watching,joy
im feeling cranky horrible,anger
compare mine feel irritated tried realistic calm self,anger
see feel confused lately,fear
feel aconfident heart overcomet god want eager learn,joy
feel like still hear cute voice ear,joy
feel content sending packet packet world,joy
began feel cranky feeling hell,anger
listen feel peaceful happy couldnt use big dose life,joy
feel like class clown im outgoing person,joy
strong feel scared lonely lost confused,fear
id done though kind found sympathizing demon church called feeling disgusted people supposed trying fight,anger
way ahead raphael laiya jennifer stayed behind watch stuff since feeling particularly energetic scampering mountain,joy
get platitude well meaning folk make feel like bothered thing bother,anger
feeling relatively indecisive hungry walked past barbeque place,fear
caught thug aged,fear
feel hated care,anger
feel annoyed way economic job market set,anger
admit feel little hesitant embedding music video case,fear
feel especially strongly since hated teeth forever one unlucky one got bad genetics even worst orthodontist pediatric dentist,anger
ive realized last month generally tend feel tremendously dissatisfied sex,anger
longer feel timid insecure walked,fear
im feeling wimpy know one year old sent old country year parent work,fear
make punjabi lobia masala mostly winter feel protein punch spice rich recipe winter warmer one,joy
guess feel thing wrote petty small im kind embarrassed go back,anger
want cant help feeling greedy,anger
feel distracted thing take attention interest keep focused time prayer reading word,anger
reporting dear soul energy feel strange today wondered somethings,fear
feel distressed night perhaps empathy,fear
im feeling fine,joy
feel really comfortable,joy
felt joy passed worst phase life discovered many people considered important,joy
cant even get schindlers list much le see actual death chamber feel ghost tortured around,anger
feeling irritable cranky often,anger
felt low point missing people know love feeling helpless,fear
feel disgusted criminal justice system st century could know full detail deny named abusive,anger
would wasted time money feel really pressured dont want,fear
thought excited im starting work im feeling reluctant ever,fear
like look ring im feeling doubtful reminds honestly dont regret know im im suppose,fear
love feel threatened around little,fear
feel lucky point feeling guilty got away without serious damage disability,joy
created new profile feel ok cuz already know added,joy
feel slightly agitated,anger
started feeling hostile checking hemorrhoid,anger
may constant dullness heaviness heart make feel restless bored unsatisfied however know well feeling evoked time month,fear
get feeling pay getting fucked,anger
feel nervous,fear
started feel uncomfortable buzzy short breath mildly panicky,fear
wonder feel angered disappointed million people one morning,anger
say could bit annoying reminds im really unfit determination feel really poo even le determination bit vicious circle,anger
mess completely stressed feeling terrified wrong thing mi stepping way dishonoring upsetting medicine family participant quest,fear
feel thing learn course useful right,joy
feel much alarmed prospect seeing general jackson president,fear
felt sadness remorse supposed feel realize wronged someone corinthian,anger
hope god false reading feel unprotected without,fear
start feel resentful,anger
felt melting away time happy feeling scared one,fear
feel jubilant elation,joy
remember feeling bitter couldnt pop balloon join celebration,anger
feeling irritable,anger
also feel welcomed lush job,joy
im feeling really stressed work theyre piling much stuff expect creative stuff decorate make,anger
feel really violent right,anger
im feeling stressed overworked running fume,anger
mean group thing felt good get add something relevant u im still really feeling delicious tool,joy
feel even though blogger popular within one clique twice amount people jealous success chooses kiss butt fit triple disrespect pompous notoriety,joy
feel like people see chink armor going decide fucked person dismiss hot mess want around anymore,anger
yelling group front getting answer getting increasingly concerned feeling increasingly frustrated lagging behind despite repeated explanation plea regarding need catch advance group,anger
feel fearful vulnerable within relationship see others trustworthy turn trust,fear
resent people shaming telling feel productive alternative give fact let think,joy
feeling greedy depressed,anger
hope feeling ok,joy
sister stole mother money made angry mother would beat unreasonable reason one day sister lent book friend without telling mother mother learnt beat even threatened pair scissors,anger
know someone need feel respected else maybe deep worry he worthy respect he insecure come,joy
feel frustrated see way save,anger
feel like todd getting stressed tired caleb take dont want caleb feel frustration,anger
didnt feel angry didnt feel bitter felt,anger
admit walked third wave cafe feeling little apprehensive appeared run mill cafe turned restaurant great personality even greater food,fear
feel like innocent victim feel win,joy
feel mom graceful warm loving smile rob time nurture heal,joy
believe medium content bad fact much feel absolutly vital human flourishing,joy
much enjoyed build air suspense confusion throughout cant help feel dissatisfied ending,anger
im feeling joy every day gorgeous people ive ever met hope thanksgiving felt,joy
feel completely dissatisfied whole world human character inconsistent,anger
get little gripped timing feel frantic thought,fear
ran upon looking cute saying add address change card planning ahead feeling positive,joy
think feeling vulnerable due stress buy new sewing machine printer,fear
looking forward unless feel place though assured fit,joy
read several page still feel unsure feel wasted time engage main argument,fear
love feeling cold nipping nose im warm clothes,anger
horrible articulating feeling particularly verbally sometimes cant even remember incident mad something,anger
forget time disagreement feel like wronged way every bad thing ever done life every poor choice every single thing agree come back screaming face,anger
feel like posting something clever problem course im extremely clever person,joy
feel little strange recommending one wrote first night marshal book invited glenn write second,fear
feel presence god something fearful happens became aware unworthiness short coming yes sin,fear
get tell love make feel valued appreciated tell beautiful intelligent,joy
feeling useful,joy
went lecture cancelled,anger
would probably dine especially feeling rich dont,joy
need remember something feel like distracted simultaneously happens,anger
hate interrupt truth feeling uncomfortable,fear
read watching film argued make sense author feel offended change truth made film used attempt effect real life verdict,anger
feeling incredibly blessed life given people god put,joy
genuinely say bottom heart feel absolutely thankful,joy
revise reply mind make sure reply sound appropriate enough person receive reply feel offended,anger
feel pain way tortured ti could possibly understand,fear
thinking one happy toast feel sincere huge magical group hug link rel stylesheet type text cs href http jdelivery,joy
feel spiteful typing first hand knowledge statistic ive gone regarding mormon anti depressant startling,anger
feel envious proud time possible feel way,anger
feel neurotic sometimes usually even know dont something etc,fear
flirt along best em rarely ever feel intimidated male identifying folk idea striking conversation regardless hopelessly attracted,fear
didnt feel terrified,fear
feel like important,joy
feel disgusted even associated woman race nationality,anger
began feel strange thought come,fear
feeling calm luckily shocked mind thinking get standby matter outcome result,joy
feeling grouchy,anger
feel le valued cause dont look good,joy
feel violent tug eye socket,anger
wanted everyone matter lifestyle feel little bit glamorous,joy
perform submarine cartwheel feel violent tug ankle board get hauled towards beach,anger
guess didnt feel need rescue son vicious man eater,anger
feel petty,anger
even feel cranky,anger
sort feel bit unsure touch upon next,fear
know feeling strange sense serendipity mind collide page,fear
feel word petty telling action going speak louder word ever able,anger
im currently feeling way fucked mother tongue paper,anger
get feeling people think im indecisive childish isnt entirely true degree show anyway,fear
feel successful waxing moon quite bit different hidden sun,joy
feel band perhaps distracted hardcore dancer flailing around,anger
feel hesitant uncertain sometimes,fear
im feeling determined face fact gander donut href http,joy
feel like offended question,anger
already feeling anxious going anti anxiety medicine going help,fear
hoped feel shiver ran maybe startled pulled away,fear
feel like neglecting beloved mom blog,joy
ask know thing everything change feel bit shaky try keep leading edge huge amount change invited allow come alignment catch,fear
hope feeling fine well wan na say happy birthday realize dream always happy perfect person deserves best,joy
feel solemn duty share divine knowledge mine order others may benefit truth beauty render world tad closer thearchitecturality utopian perfectly set garage society strive,joy
hate much feel like looking pretty damn flawless pic,joy
im thankful work place feel comfortable supported,joy
ive seen way serina feel strange shes useful sure help cleaner pretty expensive pay money would pretty great,fear
ive bike bike feel kind strange,fear
cant tell word much feel honored photo made gallery,joy
double victory brown struff went back sunday feeling really optimistic looking forward another day filled fedtastic tennis,joy
dont show insecurity persona might come mad bitch whod practically hated everyone shes feeling insecured overly paranoid,fear
really feel life perfect right isnt much ask hope everything would stay,joy
ive felt even centered pleased w thing going w feeling complacent,joy
need intentional thing like think mom sometimes feel like lose personality b c smart kid sense humor making silly face chasing around house like monster,joy
even mentioned show want trust feeling hoping would think rude mean coercive pushy,anger
guess feel fulfill artistic pursuit certainly time economy pick,joy
feel like getting away friendly tasty goodness seems abound santa cruz including unseen ambient pot smoke always make lazy swear visit laid back town visit university university california santa cruz renowned href http www,joy
feel offended form make big end doesnt bother ive learned show ball past say think anonymous would give weight content comment would question behind,anger
open file im interested twenty minute read fiddle wonder im feeling creative,joy
feel profoundly insulted anime dumb think,anger
feel superior people made different choice threatened,joy
feel look gorgeous beautiful sexy,joy
often play role loquacious hunter always feel superior others long beautiful really flower plug cow dung marry though like big grievance,joy
started dew beyond positive showing south encourage writer experience level advancement feel comfortable sharing work,joy
first entered clinic feel welcomed beautiful ivory themed furniture whole clinic look clean spacious professional cheerful consultant awaiting reception smile course,joy
feel like egg benedict something equally delicious,joy
still feel constantly paranoid anxious keep wanting go facebook check back keep wanting go text phone feel edgy work want come straight home,fear
tired feeling irritable result,anger
wont anymore wont allow stressed feeling rushed like race better one,anger
learned hard way three hour feel like month friendly people stop talk,joy
bloging sitting feeling content dog amp cat etc know lucky truth,joy
feel helpless depending people closest,fear
one minute feel intimidated stupid,fear
regular member group meaning follow whats going often also feel bit shy budding much say today request people,fear
im feeling bitter today mood strange entire day guess,anger
started feeling bit alarmed afraid reason,fear
felt completely belonged feel shy frightened,fear
often fought feeling hopelessness seemingly helpless financial situation,fear
feeling little apprehensive traveling emergency issued passport kindly supplied british consulate los angeles week ago,fear
wonder sometimes must feel rich,joy
would also feel threatened ease private information could permeate system,fear
feel mad whats,anger
also feel overwhelmed list,fear
feel bit timid using blog know classmate even complete stranger able read,fear
feel like timid ive lost lot opportunity make connection people ive wished id made connection,fear
asked feeling outraged,anger
feel honoured opportunity look forward future life develop,joy
feel honored take part upcoming sight amp sound greatest film poll,joy
always feel delighted know many people inspired love old fashioned graphic illustration,joy
feel angered make feel like somewhat liar,anger
im fair xia way feel frightened work fault,fear
came away filled admiration inspired amy friend feeling honoured share tiny part life,joy
suggested grey blue warm tone room north facing could feel quite cold flat,anger
im getting since feel accepted mark beast shot thought going kill screamed loud didnt want die,joy
feel uncontrollably agitated idea,fear
feel like could gotten apprehensive reason,fear
feel strange putting review post ill keep brief,fear
mostly feel cause hateful memory girl used run everchanging sailormoon gateway think still making name stupid mean,anger
feel frightened citizen india honest performance neither recognised appreciated,fear
believe newborn photographed head full dark hair feeling little envious baby bald blonde come,anger
feeling agitated read hot walk,anger
murakami first feel capture make beloved fan,joy
knew quaker announced quite excitedly feeling absolutely wonderful period fortnight nothing much happening brain,joy
since july st feeling shaken knowing homeless two month close home gone,fear
feel like tortured whole time,fear
also feel often burden way anything nursing student nurse yet must remember may grumpy presence everyone learn somewhere boo friggety hoo medical personnel irritated nursing student,anger
wished could feel energetic deal le pain might best option,joy
sometimes feel little unsure independent really,fear
feeling terrified anxious excited apprehensive among million thing,fear
love look black feel like would smart choice im kind drawn rich blue grayish blue,joy
im definately feeling change im refusing feel impatient,anger
look feel disgusted annoyed action,anger
always think violent band violently feeling violent lyric musically violent,anger
could look solution instead feeling helpless actually made big difference,fear
feel honoured wear one,joy
visited daycare option taken year find one feel even acceptable,joy
never feel like perfect sometimes lean little heavy work mean chaos home sometimes lean little heavy home mean get little lonely cranky,joy
work feel invigorated,joy
adress issue attempt reason may feel le threatened supported loved,fear
didnt feel got meant reluctant open really share going,fear
go gym even get heart rate high enough feel satisfied thanks level competition experienced past couple year,joy
feeling little uncertain skill birthday party arena,fear
successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,joy
feel skeptical,fear
thought feeling delicious isolation feel absorbed quest revelation leading question answer question cave came mind first lined ancient wisdom filled tome deep comfortable chair large paper strewn table centre,joy
feel fucked church fuck luminary swinelord back deluxe r,anger
feel shy ashamed,fear
im feeling nervous,fear
designing game really make feel excited,joy
havent worked today feel like im going feel ive stressed work life week bad,anger
ive feeling intimidated overwhelmed workload semester ive avoiding need,fear
feel greedy work img height src http forum,anger
suppose feeling little sarcastic today holiday,anger
dont know feel frantic really want particular song little girl,fear
keep wondering im hitting wall grief loss even im fun feeling excited enjoying wonderful friend pre summer time experience,joy
would watch feel frustrated realize fifteen foot away ocean freaking wave crashing covering majority earth ocean,anger
confess moment feeling overwhelmed ill admit bit melancholy,fear
feeling allows distracted life caught someone el even though theyre real people,anger
feel like selfish really live life,anger
ill write bunch youll respond ill back part feel shy,fear
ive feeling little bit anxious late far relation lack thereof ward investigator go im excited able ponder temple see come plan lord help,fear
im feeling quite mellow spite raging pm past day mean im likely erupt little warning,joy
asked feeling smug,joy
seriouly feel respected dont privacy ordered around,joy
close friend intimate bodily relationship girlfriend started avoid didnt want talk,anger
get feeling relationship would sarcastic sweet sure,anger
feel like im shy enormous pink flamingo man,fear
feel like selfish person,anger
see shallow many life try give love atention person see distance confusion look people stop trusting others feel insulted misstreated affeccion,anger
feel insecure si,fear
actually like thing clean like messy first feel rebellious,anger
truly terrifying still feel shaken uneasy,fear
feel calm,joy
remember cammie couple month old looking sweet innocent face sobbing thinking going school thought someone would hurt feeling unkind unfair thought teacher might mean love,anger
remember feeling hair confused kid dont hair birth presence mind really process feeling,fear
right feel amused sound hear aircleaner around see bed cat feel connected person michael think weird im mom,joy
hadnt feeling well week calgary added relaxation first run second race set another pb time almost,joy
feeling indication child personality petrified,fear
feel vulnerable criticism like lunch stink somebody comment eat embarrassed feeling,fear
feel accepted long real pious uppity religious sake religion,joy
feel greedy obsession continues sustainability growth hindered,anger
ill even come one people small piece dark chocolate feel completely satisfied gone,joy
im saying cut everyone life feel important find comfort solitude meditation working project alone,joy
feeling doubtful confused lost,fear
feel irritated lot,anger
tell mummy stomach really feeling well really wan na go toilet mummy ask keep eating,joy
didnt feel selfish completely understood coming,anger
feel terrified,fear
